session_id,index,text,shown_at,submitted_at,duration_ms,error_attempts,attempts,first_try_correct
20260919_165501,1,大家,2026-09-19 16:55:01.963,2026-09-19 16:55:09.345,7381.623,0,1,1
20260919_165501,2,走心,2026-09-19 16:55:09.354,2026-09-19 16:55:14.555,5201.158,0,1,1
20260919_165501,3,漂亮,2026-09-19 16:55:14.562,2026-09-19 16:55:16.160,1597.535,0,1,1
20260919_165501,4,女性,2026-09-19 16:55:16.161,2026-09-19 16:55:18.083,1922.000,0,1,1
20260919_165501,5,人生,2026-09-19 16:55:18.084,2026-09-19 16:55:21.170,3085.538,0,1,1
20260919_165501,6,上班,2026-09-19 16:55:21.172,2026-09-19 16:55:24.872,3700.368,0,1,1
20260919_165501,7,习惯,2026-09-19 16:55:24.873,2026-09-19 16:55:27.568,2694.428,0,1,1
20260919_165501,8,到来,2026-09-19 16:55:27.569,2026-09-19 16:55:29.604,2034.717,0,1,1
20260919_165501,9,秋天,2026-09-19 16:55:29.605,2026-09-19 16:55:30.960,1354.624,0,1,1
20260919_165501,10,中国,2026-09-19 16:55:30.962,2026-09-19 16:55:34.738,3776.281,0,1,1
20260919_165501,11,困了,2026-09-19 16:55:34.740,2026-09-19 16:55:38.357,3617.412,0,1,1
20260919_165501,12,学姐,2026-09-19 16:55:38.358,2026-09-19 16:55:42.050,3691.674,0,1,1
20260919_165501,13,除非,2026-09-19 16:55:42.051,2026-09-19 16:55:44.351,2299.553,0,1,1
20260919_165501,14,噩梦,2026-09-19 16:55:44.353,2026-09-19 16:55:45.797,1444.573,0,1,1
20260919_165501,15,安慰,2026-09-19 16:55:45.799,2026-09-19 16:55:47.433,1634.342,0,1,1
20260919_165501,16,昂扬,2026-09-19 16:55:47.434,2026-09-19 16:55:50.885,3450.728,0,1,1
